node_id,text
151,"The lady doth protest too much, methinks."
152,Wisely and slow; they stumble that run fast.
153,Wisely and slow; they stumble that run fast.
154,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
155,"The fool doth think he is wise, but the wise man knows himself to be a fool."
156,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
157,Off with his head!
158,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
159,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
160,"Though this be madness, yet there is method in 't."
161,"Though this be madness, yet there is method in 't."
162,How bitter a thing it is to look into happiness through another man's eyes!
163,"O Romeo, Romeo! wherefore art thou Romeo?."
164,Wisely and slow; they stumble that run fast.
165,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
166,For you and I are past our dancing days.
167,"The lady doth protest too much, methinks."
168,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
169,Can one desire too much of a good thing?.
170,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
171,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
172,Off with his head!
173,"O Romeo, Romeo! wherefore art thou Romeo?."
174,Rich gifts wax poor when givers prove unkind.
175,For ever and a day.
176,"The world is grown so bad, that wrens make prey where eagles dare not perch."
177,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
178,True is it that we have seen better days.
179,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
180,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
181,"It is the east, and Juliet is the sun."
182,I like this place and willingly could waste my time in it.
183,"The fool doth think he is wise, but the wise man knows himself to be a fool."
184,"It is the east, and Juliet is the sun."
185,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
186,Off with his head!
187,What's in a name? That which we call a rose by any other name would smell as sweet.
188,How bitter a thing it is to look into happiness through another man's eyes!
189,The play 's the thing wherein I'll catch the conscience of the king.
190,How bitter a thing it is to look into happiness through another man's eyes!
191,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
192,"It is the east, and Juliet is the sun."
193,This above all: to thine own self be true.
194,For ever and a day.
195,Off with his head!
196,For you and I are past our dancing days.
197,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
198,"The world is grown so bad, that wrens make prey where eagles dare not perch."
199,I like this place and willingly could waste my time in it.
200,I like this place and willingly could waste my time in it.
201,"The fool doth think he is wise, but the wise man knows himself to be a fool."
202,Not stepping o'er the bounds of modesty.
203,"I will speak daggers to her, but use none."
204,"An honest tale speeds best, being plainly told."
205,A horse! a horse! my kingdom for a horse!.
206,This above all: to thine own self be true.
207,O! she doth teach the torches to burn bright.
208,O! she doth teach the torches to burn bright.
209,Tempt not a desperate man.
210,Can one desire too much of a good thing?.
211,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
212,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
213,"So wise so young, they say, do never live long."
214,The play 's the thing wherein I'll catch the conscience of the king.
215,Do you think I am easier to be played on than a pipe?
216,How bitter a thing it is to look into happiness through another man's eyes!
